*165*s*15000 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-29 17:45:44 . fee was: 250 rwf. new balance: 29600 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*12000 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-06-29 20:04:44 . fee was: 250 rwf. new balance: 13350 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*11500 rwf transferred to linda green (250789888888) from 36521838 at 2024-06-30 02:17:35 . fee was: 250 rwf. new balance: 41600 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-06-30 13:13:27 . fee was: 20 rwf. new balance: 41080 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*500 rwf transferred to alex doe (250791666666) from 36521838 at 2024-06-30 15:32:39 . fee was: 20 rwf. new balance: 27160 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1500 rwf transferred to jane smith (250791666666) from 36521838 at 2024-06-30 16:49:31 . fee was: 100 rwf. new balance: 25060 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*14000 rwf transferred to jane smith (250790777777) from 36521838 at 2024-06-30 18:02:53 . fee was: 250 rwf. new balance: 6310 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1600 rwf transferred to jane smith (250789888888) from 36521838 at 2024-06-30 18:22:12 . fee was: 100 rwf. new balance: 4610 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to alex doe (250790777777) from 36521838 at 2024-06-30 18:48:12 . fee was: 20 rwf. new balance: 3590 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*4000 rwf transferred to samuel carter (250791666666) from 36521838 at 2024-06-30 19:15:56 . fee was: 100 rwf. new balance: 490 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*2000 rwf transferred to samuel carter (250788999999) from 36521838 at 2024-06-30 20:49:09 . fee was: 100 rwf. new balance: 26390 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
*165*s*1000 rwf transferred to samuel carter (250790777777) from 36521838 at 2024-06-30 22:40:41 . fee was: 20 rwf. new balance: 12570 rwf. kugura ama inite cg interineti kuri momo, kanda *182*2*1# .*en#
